,"données brutes de fichier de digit de branche fuji36, branche + arbre fuji 42 et branche fuji 48 réarrangées",,,,,,,,,,,,,,,L*l*coef allométrie 2001/10,
#,X,Y,Z,A,B,C,code rameau,type rameau,Long rameau(mm),Long rameau(cm),Nbr feuille,L feuille(mm),largeur feuille,N° fruit,L digitalisée,Surf foliaire(cm²),somme surf foliaire rameau
1,89.64,119.3,-90.81,-126.74,8.74,51.3,,,, ,,,,, ,,
1,101.74,104.51,-105.06,-38.66,22.5,53.4,,,, ,L1,67,45,,,22.223565,
1,96.8,106.16,-106.45,-33.55,5.62,159.51,,,, ,L2,82,42,,,25.385724,
1,94.9,109.37,-102.51,-63.94,57.89,-29.15,,,, ,L3,77,45,,,25.540515,
1,94.31,108.99,-100,-84.9,26.83,-12.32,,,, ,L4,71,41,,,21.456981,
1,92.83,109.76,-97.76,-47.64,7.45,47.89,,,, ,L5,64,43,,,20.284992,
1,88.05,111.88,-99.56,24.92,-7.15,58.07,,,, ,L6,62,48,,,21.936096,
1,90.66,114.85,-94.16,-100.81,28.11,-30.15,,,, ,L7,73,43,,,23.137569,
1,87.16,112.92,-93.48,5.93,-6.58,36.44,,,, ,L8,80,50,,,29.484,
1,88.26,118.41,-93.86,-112.41,4.04,-45.05,,,, ,L9,82,54,,,32.638788,
1,83.98,115.63,-91.41,-20.46,20.58,15.55,,,, ,L10,71,43,,,22.503663,
1,85.26,115.97,-94.24,23.05,-20.83,22.54,,,, ,L11,80,43,,,25.35624,
1,84.35,118.16,-93.42,-84.81,12.27,-12.27,,,, ,L12,75,38,,,21.00735,
1,118.46,82.21,-135.62,160.05,37.71,100.32,F36I46,I,5,0.50,4,,,,0.54,,14.454531
1,118.17,81.77,-135.5,162,38.72,98.25,,,, ,,,,, ,,
1,120.74,81.12,-135.99,154.32,36.65,-16.36,,,, ,L1,26,21,,,4.024566,
1,119.56,81.64,-137.25,120.25,-13.38,-34.11,,,, ,L2,27,31,,,6.169527,
1,118.42,82.6,-137.31,87.77,24.55,28.63,,,, ,L3,17,14,,,1.754298,
1,118,83.59,-135.91,-122.75,-4.05,-99.37,,,, ,L4,20,17,,,2.50614,
1,123.12,83.23,-132.5,103.74,10.46,34.66,F36I47,I,4,0.40,7,,,,0.42,,36.56016
1,123.32,83.42,-132.18,104.15,10.06,37.87,,,, ,,,,, ,,
1,123.1,81.89,-132.51,95.46,-3.29,-17.44,,,, ,L1,25,20,,,3.6855,
1,123.06,84.03,-133.02,73.66,-60.45,-27.78,,,, ,L2,29,21,,,4.488939,
1,123.77,83.5,-133.54,-91.27,-31.11,24.66,,,, ,L3,19,12,,,1.680588,
1,121.63,84.59,-133.12,-43.01,-46.28,105.36,,,, ,L4,32,20,,,4.71744,
1,124.16,84.95,-133.05,-75.07,-22.93,68.55,,,, ,L5,43,31,,,9.825543,
1,121.64,85.31,-131.7,-134.78,-28.67,-139.78,,,, ,L6,20,18,,,2.65356,
1,122.06,84.23,-133.04,-22.65,22.88,-4.13,,,, ,L7,43,30,,,9.50859,
1,122.65,83.08,-132.05,124.33,47.42,2.93,F36PC28,PC,5,0.50,2,,,,0.55,,13.732173
1,122.46,83.36,-131.62,124,47.97,2.82,,,, ,,,,, ,,
1,123.98,84.79,-132.25,-124.83,24.45,17.17,,,, ,L1,33,18,,,4.378374,
1,121.93,81.41,-132.89,47.08,-5.73,-17.07,,,, ,L2,47,27,,,9.353799,
1,117.11,91.41,-123.11,-171.49,13.73,10.08,F36IF28,IF,8,0.80,7,,,35,0.78,,52.238277
1,117.68,91.49,-122.58,-172.44,10,15.26,,,, ,,,,, ,,
1,116.62,88.11,-121.27,107.31,35.82,173.52,,,, ,L1,61,36,,,16.186716,
1,117.99,90.08,-123.82,133.21,-42.55,-137.32,,,, ,L2,38,29,,,8.122842,
1,119.01,92.04,-123.48,170.36,-35.47,-107.37,,,, ,L3,26,21,,,4.024566,
1,118.39,92.79,-124.16,-107.02,-64.63,130.84,,,, ,L4,35,30,,,7.73955,
1,118.02,92.81,-122.9,-32.5,-25.05,119.4,,,, ,L5,33,25,,,6.081075,
1,117.29,92.24,-122.9,-25.02,9.88,85.04,,,, ,L6,12,10,,,0.88452,
1,117.69,91.64,-123.42,17.08,-31.98,112.22,,,, ,L7,39,32,,,9.199008,
1,117.01,91.82,-123.01,17.04,34.95,-1.94,F36PL11,PL,89,8.90,7,,,,8.67,,183.007188
1,111.62,92.22,-116.23,14.69,29.78,-2.17,,,, ,,,,, ,,
1,113.16,92.8,-123.04,-7.1,9.27,17.76,,,, ,L1,86,55,,,34.86483,
1,113.58,93.88,-120.93,-47.43,23.77,15.57,,,, ,L2,81,44,,,26.270244,
1,111.04,89.08,-118.79,23.51,46.32,74.98,,,, ,L3,88,47,,,30.486456,
1,112.37,93.36,-119.81,-47.36,11.54,45.45,,,, ,L4,84,45,,,27.86238,
1,113.75,92.31,-115.78,-49.95,80.87,41.9,,,, ,L5,66,36,,,17.513496,
1,110.56,89.14,-114.34,40.63,33.78,89.21,,,, ,L6,61,47,,,21.132657,
1,110.78,95.28,-116.27,-54.69,33.21,20.91,,,, ,L7,75,45,,,24.877125,
1,121.46,82.63,-115,108.81,-9.53,47.27,F36IF29,IF,9,0.90,7,,,36,0.95,,43.090866
1,121.82,82.94,-114.18,109.63,-7.57,47.5,,,, ,,,,, ,,
1,117.63,87.22,-116.02,-67.31,-13.84,0.24,,,, ,L1,51,32,,,12.029472,
1,121.72,84.49,-116.62,-8.52,-28.19,8,,,, ,L2,35,28,,,7.22358,
1,121.78,80.29,-115.49,70.69,6.44,-42.28,,,, ,L3,34,27,,,6.766578,
1,124.06,82.43,-115.63,124.94,-4.76,24.39,,,, ,L4,54,29,,,11.542986,
1,122.26,82.52,-115.82,85.6,-56.03,-104.57,,,, ,L5,12,10,,,0.88452,
1,120.44,84.21,-115.24,-140.6,-29.94,-66.81,,,, ,L6,22,15,,,2.43243,
1,120.13,83.34,-115.37,-39.16,15.49,-44.59,,,, ,L7,20,15,,,2.2113,
1,122,83.28,-115.1,144.63,-8.73,80.53,F36PC29,PC,32,3.20,5,,,,2.98,,105.958125
1,123.22,86,-115.03,141.24,-11.51,82.45,,,, ,,,,, ,,
1,125.65,86.51,-114.41,-149.95,38.07,-18.51,,,, ,L1,65,41,,,19.643715,
1,125.75,86.85,-112.51,-127.92,41.55,7.44,,,, ,L2,83,47,,,28.754271,
1,122.55,88.43,-113.67,-79.8,32.69,-2.85,,,, ,L3,76,41,,,22.968036,
1,123.55,87.78,-116.13,-73.33,8.89,18.86,,,, ,L4,57,39,,,16.385733,
1,124.23,86.59,-116.17,-67.35,-34.85,72.2,,,, ,L5,65,38,,,18.20637,
1,123.49,83.05,-106.66,149.03,-13.11,41.13,F36IF30,IF,7,0.70,5,,,37,0.78,,27.869751
1,124.17,83.1,-106.29,147.93,-14.59,47.51,,,, ,,,,, ,,
1,124.43,82.88,-104.76,93.68,31.5,-134.3,,,, ,L1,25,22,,,4.05405,
1,123.77,81.89,-107.96,54.42,-22.66,-37.56,,,, ,L2,34,34,,,8.520876,
1,123.77,83.66,-107.49,168.64,-60.63,-165.34,,,, ,L3,29,22,,,4.702698,
1,123.47,84.73,-108.08,-24.17,-19.42,21.88,,,, ,L4,36,32,,,8.491392,
1,123.62,85,-106.64,0.81,-49.79,126.18,,,, ,L5,19,15,,,2.100735,
1,123.84,78.82,-92.9,145.9,-0.14,26.48,F36IF31,IF,6,0.60,2,,,38,0.66,,7.113015
1,124.08,79.34,-92.58,145.41,-3.98,27.16,,,, ,,,,, ,,
1,123.79,79.07,-92.31,82.58,32.68,-140.84,,,, ,L1,23,18,,,3.051594,
1,124.12,79.48,-93.39,163.05,-82.96,-149.4,,,, ,L2,29,19,,,4.061421,
1,123.84,79.28,-92.92,-159.02,-0.65,37.99,F36PC30,PC,5,0.50,3,,,,0.54,,43.658433
1,124.15,79.19,-92.49,-161.9,-3.57,38.91,,,, ,,,,, ,,
1,121.54,77.84,-91.72,105.78,26.07,-165.83,,,, ,L1,53,31,,,12.110553,
1,123.62,81.55,-93.12,-64.58,-17.7,114.76,,,, ,L2,50,36,,,13.2678,
1,122.71,83.56,-92.88,-63.89,-3.26,68.7,,,, ,L3,62,40,,,18.28008,
1,120.37,78.4,-92.7,94.55,-12.03,-5.35,F36VL1,VL,225,22.50,17,,,,22.12,,472.805424
1,98.89,81.25,-97.14,77.6,13.81,-17.12,,,, ,,,,, ,,
1,118.43,79.51,-94.74,-83.29,-14.75,-62.62,,,, ,L1,57,41,,,17.226027,
1,120.78,78.31,-93.06,-108.82,-59.93,-84.33,,,, ,L2,25,22,,,4.05405,
1,119.33,76.41,-94.94,76.98,-46.62,28.67,,,, ,L3,50,40,,,14.742,
1,117.17,75.44,-90.36,42.77,39.41,38.87,,,, ,L4,84,48,,,29.719872,
1,115.58,77.8,-95.54,14.84,-8.39,25.57,,,, ,L5,90,50,,,33.1695,
1,114.25,80.25,-93.73,-37.38,23.95,-3.35,,,, ,L6,103,49,,,37.201437,
1,114.91,73.13,-94.09,52.06,13.07,18.11,,,, ,L7,76,53,,,29.690388,
1,114.51,80.62,-96.41,-69.1,-22.3,-67.11,,,, ,L8,66,36,,,17.513496,
1,109.82,79.14,-94.04,-48.7,32.75,-8.14,,,, ,L9,78,54,,,31.046652,
1,109.55,78.73,-96.82,-15.45,-24.44,69.22,,,, ,L10,80,63,,,37.14984,
1,106.38,81.28,-95.43,-83.85,7.22,-33.02,,,, ,L11,73,56,,,30.132648,
1,101.79,78.77,-95.5,8.3,18,13.72,,,, ,L12,86,61,,,38.668266,
1,101.85,79.35,-97.39,19.36,-32.98,64.77,,,, ,L13,91,56,,,37.562616,
1,99.81,81.71,-94.73,-61.02,18.84,-12.42,,,, ,L14,88,55,,,35.67564,
1,96.98,79.77,-97.99,19.43,-16.68,40.18,,,, ,L15,89,53,,,34.769007,
1,98.34,83.85,-98.54,-75.48,-3.34,-25.87,,,, ,L16,85,43,,,26.941005,
1,96.03,81.4,-98.23,-7.17,-5.1,15.28,,,, ,L17,70,34,,,17.54298,
1,122.19,78.99,-91.55,-2.84,-15.2,-104.21,F36I48,I,4,0.40,3,,,,0.39,,17.793594
1,122.02,78.64,-91.55,-4.52,-15.14,-103.98,,,, ,,,,, ,,
1,119.15,77.84,-93.22,178.16,-51.08,-2.54,,,, ,L1,41,30,,,9.06633,
1,124.06,77.19,-92.41,-176.64,0.68,9.04,,,, ,L2,34,24,,,6.014736,
1,122.09,77.35,-92.16,-171.93,-51.8,78.29,,,, ,L3,23,16,,,2.712528,
1,121.75,77.66,-91.36,1.29,-14.78,-102.63,F36PC31,PC,6,0.60,3,,,,0.54,,69.854967
1,121.6,77.17,-91.19,0.85,-16.04,-99.96,,,, ,,,,, ,,
1,125.72,75.63,-91.2,170.38,39.14,-17.85,,,, ,L1,91,48,,,32.196528,
1,125.41,73.26,-91.83,144.57,24.21,-30.88,,,, ,L2,66,39,,,18.972954,
1,123.62,74.32,-90.05,121.86,54.66,13.87,,,, ,L3,65,39,,,18.685485,
1,119.78,78.79,-87.5,-105.68,43.8,-97.17,F36VC31,VC,6,0.60,5,,,,0.68,,59.7051
1,119.13,79,-87.48,-108.43,42.81,-97.71,,,, ,,,,, ,,
1,120.52,78.34,-86.98,-165.3,38.07,-49.75,,,, ,L1,28,26,,,5.366088,
1,119.32,81.29,-88.45,-76.67,23.19,4.31,,,, ,L2,73,40,,,21.52332,
1,118.85,78.74,-87.58,-10.7,5.58,49.05,,,, ,L3,66,40,,,19.45944,
1,119.54,78.93,-89.96,90.64,-44.19,9.16,,,, ,L4,42,35,,,10.83537,
1,119.36,78.03,-88.5,48.69,-21.22,40.06,,,, ,L5,18,19,,,2.520882,
1,120.16,78.28,-81.81,168.62,-27.35,-164.52,F36VC32,VC,3,0.30,4,,,,0.27,,27.803412
1,120.17,78.34,-81.55,168.76,-28.23,-164.53,,,, ,,,,, ,,
1,122.08,76.59,-81.69,117.07,10.53,-69.87,,,, ,L1,54,36,,,14.329224,
1,122.16,77.98,-83.3,116.49,-29.7,-61.64,,,, ,L2,48,32,,,11.321856,
1,119.21,77.41,-81.13,-141.35,31.3,63.44,,,, ,L3,17,12,,,1.503684,
1,120.87,78.55,-82.31,153.59,-44.52,-114.41,,,, ,L4,11,8,,,0.648648,
1,118.38,77.13,-81.31,-115.52,-2.92,43.1,F36IF32,IF,5,0.50,5,,,39,0.65,,17.093349
1,118.52,77.55,-80.84,-119.51,-7.58,46.49,,,, ,,,,, ,,
1,121.85,78.28,-81.2,-130.88,6.4,90.87,,,, ,L1,15,12,,,1.32678,
1,119.63,79.03,-82.04,-59.67,-13.94,114.31,,,, ,L2,26,20,,,3.83292,
1,120.27,78.36,-81.46,-30.3,-43.29,94.57,,,, ,L3,25,18,,,3.31695,
1,118.25,78.17,-81.89,-37.97,-44.28,-99.46,,,, ,L4,27,22,,,4.378374,
1,116.71,76.51,-82.19,41.81,-22.82,175.32,,,, ,L5,23,25,,,4.238325,
1,120.76,77.63,-79.94,129.04,-34.79,-167.64,F36PC32,PC,14,1.40,4,,,,1.23,,93.405312
1,121.08,78.06,-81.05,128.14,19.2,9.5,,,, ,,,,, ,,
1,121.31,77.1,-77.7,150.1,44.7,-115.12,,,, ,L1,81,53,,,31.643703,
1,116.95,77.42,-80.92,8.66,11.93,7.91,,,, ,L2,70,43,,,22.18671,
1,116.74,77.54,-81.1,10.75,22.97,5.41,,,, ,L3,63,48,,,22.289904,
1,118.14,78.19,-80.35,31.63,25.46,50.14,,,, ,L4,67,35,,,17.284995,
1,121.39,77.94,-79.13,-101.91,22.19,7.64,F36IF33,IF,10,1.00,2,,,40,0.92,,17.675658
1,121.37,78.15,-78.23,-101.82,22.2,0.48,,,, ,,,,, ,,
1,119.74,82.67,-79.46,-120.19,-5.64,-99.17,,,, ,L1,32,25,,,5.8968,
1,122.04,78.24,-79.57,119.84,1.13,-31.73,,,, ,L2,47,34,,,11.778858,
1,124.56,78.07,-78.7,-132.82,8.6,-34.52,F36PL12,PL,84,8.40,8,,,,8.35,,170.682876
1,131.91,78.92,-74.84,-124.43,3.04,-37.54,,,, ,,,,, ,,
1,123.93,80.07,-78.43,-113.07,8.39,-65.02,,,, ,L1,67,35,,,17.284995,
1,126.7,76.78,-75.79,161.41,37.46,-87.13,,,, ,L2,92,53,,,35.940996,
1,124.8,81.43,-76.05,-122.96,36.42,1.39,,,, ,L3,73,43,,,23.137569,
1,126.26,82.07,-78.06,-86.94,16.74,18.32,,,, ,L4,79,41,,,23.874669,
1,127.75,77.14,-75.85,150.06,-5.31,-31.82,,,, ,L5,77,47,,,26.675649,
1,131.08,78.18,-73.66,-164.55,40.62,-5.27,,,, ,L6,57,37,,,15.545439,
1,130.21,80.76,-74.36,-112.29,36.63,2.21,,,, ,L7,77,45,,,25.540515,
1,130.68,79.39,-75.26,-68.4,-42.1,105.86,,,, ,L8,28,13,,,2.683044,
1,108.11,49.25,-128.95,-157.74,49.01,-42.1,F42I49,I,6,0.60,5,,,,0.58,,15.906618
1,108.24,49.35,-129.51,-156.7,55.76,-28.3,,,, ,,,,, ,,
1,108.72,50.28,-129.56,-111.2,13.1,9.68,,,, ,L1,24,17,,,3.007368,
1,108.57,50.1,-128.67,-77.2,-6.4,97.27,,,, ,L2,21,13,,,2.012283,
1,109.12,48.54,-130.87,111.47,12.92,22.07,,,, ,L3,29,21,,,4.488939,
1,108.85,48.94,-129.64,128.77,-4.39,51.92,,,, ,L4,18,14,,,1.857492,
1,107.36,48.77,-129.32,7,-6.85,-23.77,,,, ,L5,28,22,,,4.540536,
1,113.18,48.26,-133.32,-60.97,-6.29,85.82,F42IF34,IF,4,0.40,3,,,1,0.59,,6.383286
1,113.75,48.33,-133.44,-57.96,-7.78,85.82,,,, ,,,,, ,,
1,113.09,47.23,-133.2,114.62,22.49,-91.26,,,, ,L1,16,13,,,1.533168,
1,113.18,49.66,-133.78,6.26,-8.78,34.67,,,, ,L2,14,9,,,0.928746,
1,112.58,48.78,-134.28,27.96,-1.63,26.97,,,, ,L3,28,19,,,3.921372,
1,113.02,46.29,-133.5,138.56,51.56,-93.46,F42IF35,IF,6,0.60,4,,,2,0.67,,16.51104
1,113.13,45.69,-133.77,145.65,46.54,-87.2,,,, ,,,,, ,,
1,114.89,45.44,-133.73,-141.89,38.92,66.61,,,, ,L1,27,21,,,4.179357,
1,114.93,45.01,-135.17,-134.89,40.64,92.68,,,, ,L2,27,23,,,4.577391,
1,112.1,46.63,-133.94,-25.42,74.38,-61.4,,,, ,L3,24,20,,,3.53808,
1,111.58,45.63,-134.49,-110.59,-43.74,-67.58,,,, ,L4,26,22,,,4.216212,
1,120.13,46.51,-137.27,-135.54,85.81,53.36,F42I51,I,6,0.60,2,,,,0.52,,2.071251
1,120.62,46.41,-137.41,-150.79,87.49,38.31,,,, ,,,,, ,,
1,119.96,46.79,-137.26,11,57.57,162.51,,,, ,L1,13,7,,,0.670761,
1,120.38,46.82,-138.53,-0.32,-11.01,-22.63,,,, ,L2,19,10,,,1.40049,
1,120.47,45.63,-137.78,121.07,66.82,-70.62,F42PC33,PC,3,0.30,2,,,,0.35,,20.999979
1,120.81,45.7,-137.76,112.61,66.56,-78.43,,,, ,,,,, ,,
1,122.65,47.63,-136.72,-133.44,44.97,-8.83,,,, ,L1,47,31,,,10.739547,
1,118.75,49.89,-137.78,-120.38,-13.19,-95.16,,,, ,L2,48,29,,,10.260432,
1,122.41,48.44,-140,50.11,14.01,-27.14,F42IF36,IF,5,0.50,3,,,3,0.52,,6.427512
1,122.73,48.33,-140.4,47.75,13.65,-31.87,,,, ,,,,, ,,
1,122.79,46.94,-139.95,66.2,47.11,-75.13,,,, ,L1,14,9,,,0.928746,
1,121.65,47.4,-139.76,53.5,57.62,-1.55,,,, ,L2,21,18,,,2.786238,
1,120.46,47.13,-140.01,33.83,27.26,-9.5,,,, ,L3,23,16,,,2.712528,
1,125.17,48.79,-139.44,110.57,2.05,-133.16,F42I52,I,5,0.50,3,,,,0.73,,7.157241
1,125.72,48.87,-138.96,111.16,1.7,-129.19,,,, ,,,,, ,,
1,125.42,47.36,-139.9,59.02,44.38,-31.84,,,, ,L1,23,18,,,3.051594,
1,125.05,47.8,-139.45,16.46,12.22,-70.63,,,, ,L2,23,19,,,3.221127,
1,126.15,48.35,-140.06,-80.73,-3.18,89.04,,,, ,L3,12,10,,,0.88452,
1,127.64,46.72,-142.28,-155.71,81.01,19.45,F42I53,I,6,0.60,4,,,,0.78,,12.766572
1,127.97,46.26,-142.82,-155.23,84.67,21.65,,,, ,,,,, ,,
1,129.74,46.54,-141.27,-114.16,64.35,43.84,,,, ,L1,30,21,,,4.64373,
1,127.89,47.3,-140.99,-59.1,63.48,-139.2,,,, ,L2,16,11,,,1.297296,
1,127.98,48.21,-142.77,-64.07,0.08,27.68,,,, ,L3,19,14,,,1.960686,
1,127.67,48.44,-143.5,-75.89,-18.61,-29.96,,,, ,L4,30,22,,,4.86486,
1,127.7,47.44,-142.09,86.16,49.7,-130.39,F42PC36,PC,3,0.30,4,,,,0.66,,51.073659
1,127.46,46.86,-142.3,87.07,50.81,-128.47,,,, ,,,,, ,,
1,125.49,44.83,-141.42,65.29,14.13,33.92,,,, ,L1,61,38,,,17.085978,
1,125.19,46.07,-144.05,-5.13,-16.44,-12.49,,,, ,L2,53,31,,,12.110553,
1,126.57,45.66,-144.21,44.12,-77.28,145.59,,,, ,L3,60,33,,,14.59458,
1,126.27,47.3,-144.26,-20.96,-23.75,-13.81,,,, ,L4,38,26,,,7.282548,
1,133.93,47.8,-144.53,-85.02,69.29,87.64,F42I55,I,5,0.50,3,,,,0.37,,8.852571
1,134.18,48.04,-144.66,-76.99,69.38,90.54,,,, ,,,,, ,,
1,135.36,47.48,-143.69,145.15,54.35,-21.62,,,, ,L1,32,21,,,4.953312,
1,133.55,50.04,-143.92,-14.59,-6.65,92.87,,,, ,L2,17,13,,,1.628991,
1,134.01,48.34,-147.04,58.49,-34.72,-39.13,,,, ,L3,22,14,,,2.270268,
1,134.88,48.75,-147.84,130.17,69.51,3.75,F42I56,I,5,0.50,6,,,,0.64,,20.203911
1,134.9,49.39,-147.88,123.24,68.04,0.5,,,, ,,,,, ,,
1,136.61,45.81,-147.31,-173.51,43.68,11.35,,,, ,L1,31,25,,,5.712525,
1,135.31,48.07,-146.19,-143.36,41.74,135.94,,,, ,L2,13,8,,,0.766584,
1,134.68,47.36,-146.79,47.6,38.09,-52.44,,,, ,L3,20,11,,,1.62162,
1,135.62,49.2,-148.16,-92.41,4.75,19.06,,,, ,L4,22,18,,,2.918916,
1,134.38,50.2,-147.76,-72.51,16.07,-8.17,,,, ,L5,33,22,,,5.351346,
1,133.63,52.03,-146.44,-30.83,38.53,-21.92,,,, ,L6,26,20,,,3.83292,
1,134.71,48.8,-146.53,104.34,71.73,33.49,F42PC37,PC,2,0.20,3,,,,0.76,,38.712492
1,134.49,48.09,-146.36,108.15,72.92,36.67,,,, ,,,,, ,,
1,132.31,47.63,-148.46,49.08,-17.54,29.87,,,, ,L1,63,38,,,17.646174,
1,132.54,47.35,-148.16,50.64,-42.5,102.34,,,, ,L2,56,32,,,13.208832,
1,133.68,49.24,-148.26,-45.62,-44.91,-40.95,,,, ,L3,41,26,,,7.857486,
1,137.7,49.87,-145.08,126.25,72.57,-113.59,F42I57,I,3,0.30,5,,,,0.56,,13.127751
1,138.15,49.98,-144.76,123.15,72.91,-116.24,,,, ,,,,, ,,
1,139.01,50.67,-145.47,-165.72,-7.11,-28.53,,,, ,L1,31,20,,,4.57002,
1,138.64,48.23,-145.1,-165.28,-7.7,-37.48,,,, ,L2,17,13,,,1.628991,
1,137.13,50.87,-145.54,-34.95,-15.6,102.85,,,, ,L3,17,14,,,1.754298,
1,137.9,49.94,-146.21,-27.61,-66.03,86.84,,,, ,L4,18,9,,,1.194102,
1,137.86,49.54,-147.66,57.64,-79.38,1.41,,,, ,L5,27,20,,,3.98034,
1,144.73,48.65,-149.24,-136.24,64.42,-23.5,F42I58,I,4,0.40,2,,,,0.43,,3.678129
1,145.01,48.97,-149.19,-138.6,67.26,-28.08,,,, ,,,,, ,,
1,142.83,50.1,-150.92,-29.1,2.27,62.87,,,, ,L1,23,13,,,2.203929,
1,143.61,50.15,-150.41,-10.76,2.67,-9.82,,,, ,L2,20,10,,,1.4742,
1,146.29,49.77,-149.67,75.21,86.46,-117.54,F42VC33,VC,7,0.70,2,,,,0.27,,16.238313
1,146.42,50,-149.6,113.54,88.27,-73.88,,,, ,,,,, ,,
1,146.91,48.98,-149.51,174.67,11.41,-36.8,,,, ,L1,17,11,,,1.378377,
1,146.42,52.6,-149.97,-82.58,29.59,7.21,,,, ,L2,56,36,,,14.859936,
1,152.46,48.57,-150.94,64.61,70.87,-117.07,F42I59,I,8,0.80,6,,,,0.86,,25.238304
1,153.31,48.5,-150.84,44.31,67.51,-134.61,,,, ,,,,, ,,
1,151.95,49.43,-149.85,16.13,20.19,172.58,,,, ,L1,23,17,,,2.882061,
1,152.83,50.64,-150.81,-6.16,72.65,108.21,,,, ,L2,26,15,,,2.87469,
1,152.94,47.35,-151.55,50.2,53.29,-93.79,,,, ,L3,32,21,,,4.953312,
1,152.3,50.51,-153.91,-44.59,5.97,20.35,,,, ,L4,33,21,,,5.108103,
1,151.62,49.09,-153.21,-18.09,-3.05,-3.95,,,, ,L5,27,18,,,3.582306,
1,152.43,51.17,-149.95,-16.31,24.3,94.39,,,, ,L6,33,24,,,5.837832,
1,152.49,50.56,-152.39,90.67,65.45,-124.87,F42PL13,PL,100,10.00,6,,,,8.68,,138.972834
1,160.51,53.68,-151.24,66.39,66.85,-139.64,,,, ,,,,, ,,
1,155.91,49.86,-150.47,-98.95,-3.67,59.4,,,, ,L1,53,38,,,14.845194,
1,156.31,53.69,-149.66,-96.32,21.12,-11.81,,,, ,L2,75,51,,,28.194075,
1,158.75,52.6,-150.72,-146.65,-35.83,-101.27,,,, ,L3,67,42,,,20.741994,
1,160.04,52.56,-149.04,-110.53,31.03,16.22,,,, ,L4,79,47,,,27.368523,
1,162.32,48.87,-150.37,118.35,20.49,-60.97,,,, ,L5,70,46,,,23.73462,
1,161.41,53.61,-149.97,-76.22,-6.67,35.69,,,, ,L6,76,43,,,24.088428,
1,102.96,52.67,-123.1,176.15,19.84,13.29,F42PL14,PL,105,10.50,7,,,,10.46,,163.591974
1,102.46,53.76,-133.49,-165.9,32.76,8.77,,,, ,,,,, ,,
1,103.49,53.24,-127.76,121.87,-50.41,14.14,,,, ,L1,75,49,,,27.088425,
1,102.32,56.05,-128.74,-81.82,-16.41,-21.64,,,, ,L2,83,53,,,32.425029,
1,101.06,52.36,-130.21,6.16,-30.56,17.42,,,, ,L3,68,47,,,23.557716,
1,104.28,53.82,-132.45,-142.8,-10.41,-23.25,,,, ,L4,69,41,,,20.852559,
1,101.32,55.7,-133.24,-65.7,-9.42,17.74,,,, ,L5,70,45,,,23.21865,
1,103.08,52.73,-135.07,81.3,-46.87,13.85,,,, ,L6,57,40,,,16.80588,
1,103.48,56.22,-135.91,-99.7,-26.45,-28.98,,,, ,L7,65,41,,,19.643715,
1,105.14,62.56,-122.56,160.61,46.29,39.5,F42IF38,IF,6,0.60,4,,,5,0.51,,18.398016
1,104.94,62.28,-122.94,165.82,48.88,46.54,,,, ,,,,, ,,
1,105.75,62.4,-123.59,-169.76,37.68,11.9,,,, ,L1,33,23,,,5.594589,
1,105.94,63.65,-122.79,-108.09,9.08,7.49,,,, ,L2,31,23,,,5.255523,
1,103.48,63.91,-122.84,-81.13,11.13,-10.66,,,, ,L3,22,16,,,2.594592,
1,102.82,62.04,-122.04,37.55,29.09,25.7,,,, ,L4,28,24,,,4.953312,
1,104.89,63.27,-123.04,152.16,30.95,-16.35,F42PC38,PC,4,0.40,3,,,,0.50,,38.218635
1,104.76,63.27,-123.52,150.19,33.58,-19.49,,,, ,,,,, ,,
1,107.6,62.87,-124.94,-177.93,5.44,-30.25,,,, ,L1,45,30,,,9.95085,
1,106.84,62.82,-124.43,-164.97,57.51,-4.14,,,, ,L2,47,32,,,11.085984,
1,103.6,65.37,-124.78,-68.8,-9.86,20.66,,,, ,L3,63,37,,,17.181801,
1,110.12,65.41,-123.44,171,55.56,-0.5,F42PC39,PC,8,0.80,3,,,,0.70,,48.714939
1,110.69,65.26,-123.82,171.66,56.26,-0.28,,,, ,,,,, ,,
1,112.9,66.52,-125.43,-144.79,-23.55,-28.64,,,, ,L1,61,38,,,17.085978,
1,111.1,67.19,-125.16,-124.16,-44.95,-22.17,,,, ,L2,52,28,,,10.732176,
1,108.84,67.43,-127.67,-54.64,-34.46,7.25,,,, ,L3,63,45,,,20.896785,
1,118.56,75.44,-122.75,148.74,26.6,-6.75,F42PC40,PC,14,1.40,5,,,,1.87,,125.830341
1,118.76,76.15,-124.47,147.73,30.87,-7.09,,,, ,,,,, ,,
1,118.44,73.71,-126.07,45.61,-32.91,-10.16,,,, ,L1,70,38,,,19.60686,
1,118.48,74.86,-127.15,33.19,-33.61,2.63,,,, ,L2,71,40,,,20.93364,
1,120.47,78.29,-126.65,-124.43,-4.62,-1,,,, ,L3,77,40,,,22.70268,
1,119.77,76.51,-127.64,151.63,-51.6,-9.12,,,, ,L4,83,47,,,28.754271,
1,118.44,77.74,-126.49,-60.44,-39.18,5.59,,,, ,L5,85,54,,,33.83289,
1,125.54,80.3,-119.95,121.7,32.32,-15.16,F42I62,I,6,0.60,6,,,,0.50,,22.960665
1,125.74,80.31,-120.41,119.7,33.1,-14.46,,,, ,,,,, ,,
1,126.14,81.27,-118.97,-167.85,44.29,8.42,,,, ,L1,10,7,,,0.51597,
1,126.58,80.51,-120.83,173.01,-17.07,-13.37,,,, ,L2,26,21,,,4.024566,
