,"données brutes de fichier de digit de branche fuji36, branche + arbre fuji 42 et branche fuji 48 réarrangées",,,,,,,,,,,,,,,L*l*coef allométrie 2001/10,
#,X,Y,Z,A,B,C,code rameau,type rameau,Long rameau(mm),Long rameau(cm),Nbr feuille,L feuille(mm),largeur feuille,N° fruit,L digitalisée,Surf foliaire(cm²),somme surf foliaire rameau
1,149.38,50.34,-157.82,15.85,-56.18,18.03,,,, ,L1,27,20,,,3.98034,
1,147.84,50.32,-156.03,154.17,-54.4,8.3,,,, ,L2,26,20,,,3.83292,
1,147.84,50.57,-155.77,70.79,-77.42,-24.74,,,, ,L3,19,12,,,1.680588,
1,148.61,48.77,-156.62,68.3,-41.04,-91.38,,,, ,L4,36,24,,,6.368544,
1,149.52,49.71,-156.84,94.74,-32.96,-75.68,,,, ,L5,15,10,,,1.10565,
1,148.25,51.37,-156.05,40.01,-1.02,83.21,F36PC3,PC,6,0.60,4,,,,0.67,,124.975305
1,148.13,51.62,-155.44,40.83,-0.94,83.64,,,, ,,,,, ,,
1,151.18,52.59,-156.89,-171.47,-20.99,-107.3,,,, ,L1,74,49,,,26.727246,
1,149.1,52.74,-151.73,-107.97,45.44,28.26,,,, ,L2,81,49,,,29.255499,
1,149.05,53.54,-153.62,-80.58,75.9,-10.95,,,, ,L3,90,48,,,31.84272,
1,143.98,50.82,-152.49,14.05,40.48,44.56,,,, ,L4,84,60,,,37.14984,
1,150.51,46.63,-155.22,57.33,4.95,-56.07,F36VC4,VC,4,0.40,5,,,,0.41,,26.948376
1,150.88,46.57,-155.39,56.89,4.9,-56.93,,,, ,,,,, ,,
1,149,47.85,-154.91,50.62,-58.32,-26.11,,,, ,L1,14,12,,,1.238328,
1,151.22,46.8,-154.36,129.06,28.46,-42.93,,,, ,L2,23,16,,,2.712528,
1,151.13,46.71,-155.13,129.28,13.46,-10.56,,,, ,L3,42,27,,,8.358714,
1,151.3,45.67,-154.7,107.9,9.42,-1.74,,,, ,L4,26,21,,,4.024566,
1,149.7,46.5,-156.85,84.61,-39.56,-12.63,,,, ,L5,45,32,,,10.61424,
1,150.07,46.66,-146.15,110.71,11.68,-30.01,F36VC5,VC,6,0.60,4,,,,0.59,,31.223556
1,150.15,46.56,-145.57,110.82,11.13,-28.5,,,, ,,,,, ,,
1,151.5,49.11,-147.22,-91.55,1.86,53.48,,,, ,L1,42,34,,,10.525788,
1,149.03,48.33,-145.76,29.27,-3.31,69.73,,,, ,L2,14,14,,,1.444716,
1,150.95,45.15,-146.37,89.79,-15.23,-46.58,,,, ,L3,22,23,,,3.729726,
1,150.72,46.19,-144.36,50.17,46.68,-52.69,,,, ,L4,54,39,,,15.523326,
1,151.77,49.03,-144.25,-88.32,12.15,31.89,F36I6,I,4,0.40,4,,,,0.38,,11.506131
